City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
194,atafu village,-8.5421,-172.5159,28.47,79,45,9.72,TK,1720092973
195,recani,31.2846,-4.2688,41.81,4,0,8.32,MA,1720092974
196,waycross,31.2136,-82.354,24.71,98,75,1.54,US,1720092975
197,pitimbu,-7.4706,-34.8086,24.33,70,59,5.87,BR,1720092431
198,ezza-ohu,6.4373,8.0862,29.21,69,84,2.11,NG,1720092978
199,entebbe,0.0644,32.4469,28.18,61,20,2.57,UG,1720092979
200,reggane,26.7158,0.1714,44.76,5,0,2.05,DZ,1720092981
201,xilin hot,43.9667,116.0333,19.55,45,82,1.06,CN,1720092982
202,inda silase,14.1031,38.2829,25.69,41,46,1.46,ET,1720092983
203,bilibino,68.0546,166.4372,17.62,54,93,1.94,RU,1720092984
204,meulaboh,4.1363,96.1285,26.98,80,92,1.05,ID,1720092985
205,lebu,-37.6167,-73.65,6.17,79,68,4.9,CL,1720092987
206,guerrero negro,27.9769,-114.0611,19.39,85,96,3.01,MX,1720092882
207,jamestown,42.097,-79.2353,21.94,100,100,2.06,US,1720092989
208,nadi,-17.8,177.4167,24.0,83,40,0.0,FJ,1720092990
209,mount isa,-20.7333,139.5,17.87,52,40,3.09,AU,1720092429
210,hammerfest,70.6634,23.6821,12.25,71,40,1.54,NO,1720092993
211,khovd,48.0056,91.6419,23.2,23,53,1.12,MN,1720092994
212,taguatinga,-12.3857,-46.5711,25.26,36,0,3.34,BR,1720092995
213,mil'kovo,55.6078,37.7956,33.03,40,5,4.03,RU,1720092996
214,yauya,-8.9833,-77.3,8.29,78,88,0.44,PE,1720092998
215,codrington,-38.2667,141.9667,9.53,80,23,2.93,AU,1720092428
216,kapchorwa,1.3965,34.4509,23.31,53,36,0.9,UG,1720093000
217,bubaque,11.2833,-15.8333,27.19,78,83,7.18,GW,1720093001
218,cold lake,54.4502,-110.2017,12.97,100,75,1.54,CA,1720093003
219,mikhaylovskoye,51.8239,79.7172,22.9,57,98,4.76,RU,1720093004
220,juan griego,11.0817,-63.9655,20.07,100,99,5.14,VE,1720093005
221,pokrovo-prigorodnoye,52.6841,41.4175,32.08,40,95,4.76,RU,1720093006
222,lazaro cardenas,17.9583,-102.2,24.29,86,33,1.93,MX,1720093010
223,ishinomaki,38.4167,141.3,27.0,74,97,4.29,JP,1720092727
224,nadym,65.5333,72.5167,28.12,39,28,5.17,RU,1720092415
225,posto fiscal rolim de moura,-13.0833,-62.2667,23.33,57,1,0.7,BR,1720093013
226,floro,61.5996,5.0328,16.98,51,75,3.6,NO,1720093015
227,paciran,-6.8767,112.3761,26.12,86,100,4.69,ID,1720093016
228,margaret river,-33.95,115.0667,11.71,81,29,3.86,AU,1720092891
229,tai'an,36.1853,117.12,24.63,75,23,2.17,CN,1720093019
230,mili,6.0815,171.735,28.13,75,100,4.87,MH,1720092439
231,tarawa,1.419,172.984,28.05,89,20,4.12,KI,1720093021
232,tsiombe,-25.3,45.4833,26.61,33,24,4.57,MG,1720093023
233,rabo de peixe,37.8,-25.5833,20.73,68,40,4.12,PT,1720093026
234,taltal,-25.4,-70.4833,12.42,78,22,0.88,CL,1720093028
235,jirja,26.3383,31.8916,41.12,9,0,2.57,EG,1720093029
236,boende,-0.2167,20.8667,36.81,32,54,1.43,CD,1720093031
237,phan rang-thap cham,11.5667,108.9833,26.43,88,100,1.72,VN,1720093032
238,jalqani,12.4486,34.2186,34.24,35,85,2.42,SD,1720093033
239,kodiak,57.79,-152.4072,5.73,93,0,3.09,US,1720093034
240,new norfolk,-42.7826,147.0587,3.75,96,3,1.44,AU,1720093035
241,ust-nera,64.5667,143.2,13.98,90,94,0.87,RU,1720093037
242,nuuk,64.1835,-51.7216,9.34,61,0,1.03,GL,1720093038
243,vilyuysk,63.7553,121.6247,13.7,62,20,2.95,RU,1720093040
244,amalapuram,16.5833,82.0167,30.58,71,96,1.85,IN,1720093041
245,christchurch,-43.5333,172.6333,2.19,89,47,0.93,NZ,1720092982
246,nova vicosa,-17.8919,-39.3719,25.01,62,0,1.66,BR,1720093044
247,n'zeto,-7.2312,12.8666,24.4,68,82,4.32,AO,1720093046
248,renqiu,38.6989,116.0936,28.93,58,26,2.69,CN,1720093047
249,konstantinovka,49.6167,127.9833,26.54,49,22,3.35,RU,1720093049
250,zhumysker,49.3333,49.4,38.54,16,56,3.23,KZ,1720093051
251,zelenodolsk,55.8438,48.5178,32.18,45,10,2.31,RU,1720093052
252,palmer,42.1584,-72.3287,18.92,70,100,3.6,US,1720093054
253,am timan,11.0297,20.2827,32.01,42,100,1.97,TD,1720093056
254,zemio,5.0314,25.1361,34.89,37,14,1.45,CF,1720093058
255,esikhaleni,-28.871,31.8996,22.28,47,2,8.88,ZA,1720093059
256,utrik,11.2278,169.8474,27.83,79,86,6.69,MH,1720093060
257,broken hill,-31.95,141.4333,11.23,64,63,7.44,AU,1720093061
258,galle,6.0367,80.217,27.91,78,89,5.0,LK,1720093028
259,badagry,6.4167,2.8833,27.36,78,99,4.69,NG,1720093064
260,ramotswa,-24.8716,25.8699,22.79,9,0,4.61,BW,1720093065
261,arkhangel'sk,64.5401,40.5433,22.06,64,75,4.0,RU,1720093066
262,playa blanca,28.8643,-13.8281,24.06,79,72,5.63,ES,1720093070
